deal_count,link,price,shop,title
900+人累计付款,//detail.tmall.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%221535de9c6bccf0cdf4f6f221a7b1fa2f%22%7D&id=745224212769&ns=1&abbucket=3,,bilibili旗舰店,现货bilibili哔哩哔哩新品TAITO VOCALOID 
4000+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%2230d5324b32ec7cc524de846bf6cf1810%22%7D&id=627919561188&ns=1&abbucket=3#detail,,诗乐姐姐玩具店,FuRyu VOCALOID 
400+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822588133607e853b&utparam=%7B%22aplus_abtest%22%3A%226f01df1201bf4ca9dcdf7d0c519a7d26%22%7D&id=781483359944&ns=1&abbucket=3#detail,,潮玩手办城,正版现货 TAITO 
4000+人累计付款,//detail.tmall.com/item.htm?priceTId=214781b117188822588133607e853b&utparam=%7B%22aplus_abtest%22%3A%228b763b1689a7c12e93bd1c90c101af6c%22%7D&id=696060654244&ns=1&abbucket=3,,百译好玩具专营店,TAITO FURYU 
100+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822588133607e853b&utparam=%7B%22aplus_abtest%22%3A%22a7c1bc05a65dced68e7b5b3e1f1914b0%22%7D&id=784399553212&ns=1&abbucket=3#detail,,盲盒大爆款,正版现货 世嘉SEGA 
100+人累计付款,https://click.simba.taobao.com/cc_im?priceTId=214781b117188822588133607e853b&utparam=%7B%22aplus_abtest%22%3A%224d2c8693bda253c8cd3f57493ba8bfcd%22%7D&p=%B3%F5%D2%F4%CA%D6%B0%EC&s=1871705806&k=1517&e=0%2Fi9HsS10ltioRVbgDZ2wYl7Wsn7%2F6phQGpLnAnXiJrXuhdAvj%2FuF6kv%2FsS6CZcQ797N9tGaBkPisAzCAFyYYzzbVhMdkoUJqtbhzI1goSBAzqMhHLx0wrH8gwg%2Bz%2BQJs0xzugmwYR4Zl%2BhdaGm9TnQ8OzG3XSgUlCoGSwDh%2BzGBSCVrL6Tu5%2F1sPJIOCKS5J5tJYxI%2B8sC75b7nXBs0tdP1zrRZ2WjE1rhxuMy3CCI4Khf97k%2F1D4JImeQrqH9WHPYcrbOylPqxlXeYxQsOzPBVU7SuWC1%2BpJ6MERy6w80Q0lFXs3OVjYBhvhx6Z%2Fpt3Kg16h004n2k9J94ASlp2xBJTndQ5IH7K%2B4SwLfwmm5qG5fjMGBdVVgCpOThQsT2pBkmwIYQM29MTm73KNZTJtVypgGe%2BGxIPvbLGRcYS1m4aVEcItcxiSoJ2dSbfbCQLf%2BrGvepT3Kg8kWwCyC61wh819D6zeN3LCbK4FlUPOCSDs1RgcqVYf3CgKnmGimPbiQ7FFITR%2Bi3oRGEo%2FUCqKVxEqL7S9o1wEqvxQH6VgIOl%2BxiP7UFVU2ztDYS3a3M%2BLKn4qIizxtxDd4yHCd90ClI8uJTQTIqrMUH5y1P1g%2Bk0C9Zwp18NpdPyNpxdt2xC3ce626B5h6ggMlDxkR6LKtmv2AXX5iTefPg30fB%2FNSpCTQX2SrJnEun79r%2FYULOZzvhY%2FdJug34yoSH4flGBzfhA6OL421YJn0unM3Y52gsf4QXaz0kYDIuOvyz8xVOFfP2SxBybEPb1HpIR7XfT1dcww83VR9do%2BnBwR2lqgx8ftY4Pi1FdMRwd9kpphLJPm6JHGJmJ26NyWhCn261NXHv3lyRxatMmhVkffunM9YpyURUNUcDxQ4XWt1k2lxiLkm2Wu%2FH2EAWEpv%2BC7%2BDy9Di3%2FUwxyUvI5RaI3ferQKKcUuXrqIN9APqdsb%2BuV2OYQaTNTt3xzR7NNdbSFeDxpv86hdVoNU6TAnO%2BdChBIMdzGqppNvUoIWmaMEHUUbrous0qgKPrUEjdLAP8u1bQ7hWmHTf%2FjWH0TkKra2GU0LHXZgoUmAm%2B4yk4lNIq5C%2F0X2deTNIC8V1E36UTRSY7fULtPjmy00leTkYm9b2unCn1xgFz6gnO6zfvQjoOp622LLGVM%2FcH0y9kLnmxxQT%2FMuH24yplvBu0RWwiXN7tDTpwI6e4mqmW6qX3VkD7UKU7UvbwzIdrl8WdIIJLukTag8X8iTWFGK%2F98Q%2F7g6r5qT5g9JZTwvKlRuPovgsgE0YBevhS3Yo4P8SsdOB4RhSinb0xEB2fR2S6AJ%2BH%2BhLbh4Mx4eIB04ycibsq2codUITSSGOkBDLWy8J94bT%2FG5MTe7GM72piUjULoj8qLJEsT5cauRPTvtV%2Fmc74WP3SboNScfF48Xya%2Bwu4%2FZrJkwU%2BVmidmLEB7WSeTkYm9b2unDX%2Fwqd4cvYQkZvbmf1OQBuLy62QabM92teOvWpsof3RFFxNTmjXLMOA5iqAJ6Ujr0%3D#detail,,龙龙动漫汇,初音手办雪公主长发玩偶女生摆件模型盲盒雕像公仔福袋二次元礼物
3000+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822588133607e853b&utparam=%7B%22aplus_abtest%22%3A%225cad1479360c82aa8837945a45d0047e%22%7D&id=665401728005&ns=1&abbucket=3#detail,,漫圈 ManQuan,日本万代眼镜厂
2000+人累计付款,https://click.simba.taobao.com/cc_im?priceTId=214781b117188822599053655e853b&utparam=%7B%22aplus_abtest%22%3A%22be9c7738b8687e8b5cb002fafb20b410%22%7D&p=%B3%F5%D2%F4%CA%D6%B0%EC&s=1086869390&k=1485&e=uJUg1RsQxvbqWZJb%2B08AAVzEzueze5ZUd%2BQtl16l2JoGOKwmqLD47X%2BjEqL%2Bgc9Km8WFTDJppeof4ZCJG1SAKWBZECMvjNmP%2BBzUwr%2BSFN5fC5fArD2GYiQFvFjw1kmnG%2F9HA%2FXpLk63Nz4IZgyLE2tMUD%2FhG1Zlepk0aGDlfcFUzR8KC7t0%2FEMUrLY8YyA4fBOp8gEWWS5Sjjf7a%2BbMHOc7q0pc9n1COB5y7w6Frnar84buEbERRFXodVcXeywr57yOYzlcYHmCkYccaUa4Hsxia%2FJDeNAa6EwOnyHTO%2BpWOfW5ysYbZzltSSx5fClPTu2OvPj1DL8puDSgW6ZDsnJYSVnLhGFei5smQoHPlfVJjZylYJIdN%2B322jq4LXqL9tJDDZCS4WL7DJDInCgeg%2B322jq4LXqL59tNFXzhuNVaQCHtl4vChTvjGx9DkGkRHKmsSjzIu7vjnq3Kj7LwOUlVDsdUMH0%2FkCImjpPbk9sHl%2BNDz4K8ddvQUfZl2YO0cTR4jfWlSWiGIugGYeqlNXijRsVe8pSiUk3I1BBO54EctlqlKE6jvaC83WBxUxTXKKpJbmE6fpONzUQ8%2BtiZ9LYzC7Pao0nhqOnzVhI1m9iYK2MBnN04iujhj4roab0XmHkqEt8VqVRRHfwCYZ%2BQHNMRosoddG%2BHeKNGxV7ylKL3XcVLqv4D3oqtHOk3iM8fkeAu%2FIZ8dAmGQP%2FLfQ1Cq6ar6%2FxU%2Fhf%2Fin9YGGOUQZRkSNPF6gsqhTr3enumuaaLVUDcMzppITtptlTPA5onoYpT9X%2BCw7KSDLlsL6JOQWzLeCiH3GNXYLFRQDWxOLU3uU90ksCP7lB346bi9hBQiZVBnX0IhorNrEP%2B4qaRSPIn2fendZKQE7MPUDkGiXWJHCMa1%2BWkgcSCfnOc1lcEjtnHIngZ%2BKXQ7jh1K6C7ZCnOs9U%2BeehmnGGkpNO7%2BMIuwlV4CVhsvvfpmwUnKFP8YAYSsmNP68ULtIZ8aPKRRZWPdlck7eCUiJ50WVoFc4xRsJgTIhQ%2BJ2ebhpc%2B6A%2BFj%2F55TIBZS1XgTtPw6NgG5yIjtB9Go9a9fXfUrpqkwrNAwQ2MVbzUIlGXs5gbq56z%2FDysH9pyzsO5vXLvUBR7fzIS0uAfpWF72nDEPySjqbQ7PwXFtrFPpNW1F8f8JZo1tgajkN3%2BXrMChgXF4ZZOMYFs2FFSciACe3ijRsVe8pSieDvGSfJzXD9NBdPJFooPZuhLXs2Uu5gt1av8%2BkwFjK4XZCN7PbB%2BbebGOWU9CCUxXkshoz7lbgxKGBmLQ6IFDLYzC7Pao0nhqOnzVhI1m9iYK2MBnN04iujhj4roab0XmHkqEt8VqVSkT3M7kWUgS0jl%2BzpddshRN6h9Y5an%2FBhgCFY2%2FfDNLRTeFHmLcw0Kgyy6g6Gh5iQ%2FPIQkaT8pHhLS4B%2BlYXvaZFz%2B2VhpJjEFWAB%2FXG1%2B6IZo%2F2%2BJu8ZVNJbQyfvlEow%3D,,擎苍旗舰店,擎苍初音未来荷塘嬉戏Q版手办正版动漫周边摆件MIKU联名公仔
200+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22af1264decd152c05bae0d0515fc51d70%22%7D&id=737631780524&ns=1&abbucket=3#detail,,漫天星潮玩,二次元玩偶摆件米山舞动漫少女雕像桌面模型周边生日礼物
900+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22be14ba26b9f841e7dfb1b21306bfd56e%22%7D&id=745870511716&ns=1&abbucket=3#detail,,bilibili手办自营店官方店,【bilibili】现货TAITOAMP
